mode,op,ops,median_ms
simd,add,0,0.021717
simd,add,16,0.019362
simd,add,64,0.028973
simd,add,128,0.044341
simd,add,256,0.076083
simd,add,512,0.141217
simd,sin,0,0.021432
simd,sin,16,0.076836
simd,sin,64,0.254769
simd,sin,128,0.491122
simd,sin,256,0.963950
simd,sin,512,1.914411
simd,cos,0,0.018708
simd,cos,16,0.077437
simd,cos,64,0.254236
simd,cos,128,0.490627
simd,cos,256,0.965978
simd,cos,512,1.909198
simt_only,add,0,0.019551
simt_only,add,16,0.040470
simt_only,add,64,0.109483
simt_only,add,128,0.200869
simt_only,add,256,0.384529
simt_only,add,512,0.750025
simt_only,sin,0,0.017816
simt_only,sin,16,0.479611
simt_only,sin,64,1.707583
simt_only,sin,128,3.247081
simt_only,sin,256,5.900721
simt_only,sin,512,11.246862
simt_only,cos,0,0.105071
simt_only,cos,16,0.497671
simt_only,cos,64,1.845857
simt_only,cos,128,3.632840
simt_only,cos,256,7.226587
simt_only,cos,512,14.387981
