case,kernel,board_median,board_min,board_max,camodel,diff_pct
load_scalar_o1_syscnt,simd_main_ld_o1_repeat60,425.0,400,628,,
load_scalar_o1_syscnt,simd_main_ld_o1_syscnt,459.0,441,869,451,-1.7429193899782136
load_scalar_o1_syscnt,simd_nop_syscnt,5.0,5,6,5,0.0
load_scalar_o1_syscnt,simt_ld_uniform_o1_syscnt,504.0,471,1233,1056,109.52380952380953
load_scalar_o1_syscnt,simt_ld_uniform_o1_t1_syscnt,509.0,505,1215,1156,127.11198428290767
load_scalar_o1_syscnt,simt_nop_syscnt,53.0,52,399,1058,1896.2264150943397
load_scalar_o4_syscnt,simd_main_ld_diff_o4_syscnt,575.5,498,907,528,-8.253692441355343
load_scalar_o4_syscnt,simd_main_ld_same_o4_syscnt,470.0,456,737,494,5.106382978723404
load_scalar_o4_syscnt,simd_nop_syscnt,5.0,5,6,5,0.0
load_scalar_o4_syscnt,simt_ld_uniform_diff_o4_syscnt,519.5,471,883,1140,119.44177093358999
load_scalar_o4_syscnt,simt_ld_uniform_same_o4_syscnt,506.0,472,1209,1088,115.01976284584981
load_scalar_o4_syscnt,simt_nop_syscnt,53.0,52,388,886,1571.698113207547
store_scalar_o1_syscnt,simd_main_st_o1_dcci_rd_syscnt,1043.0,1012,1235,1458,39.78906999041227
store_scalar_o1_syscnt,simd_main_st_o1_dcci_syscnt,638.0,530,901,1023,60.3448275862069
store_scalar_o1_syscnt,simd_main_st_o1_syscnt,451.0,407,724,456,1.1086474501108647
store_scalar_o1_syscnt,simd_nop_syscnt,6.0,5,6,5,-16.666666666666664
store_scalar_o1_syscnt,simt_nop_syscnt,53.0,52,281,899,1596.2264150943395
store_scalar_o1_syscnt,simt_st_uniform_o1_dcci_syscnt,400.0,380,1240,1368,242.0
store_scalar_o1_syscnt,simt_st_uniform_o1_syscnt,286.0,249,1267,1142,299.3006993006993
store_scalar_o4_syscnt,simd_main_st_diff_o4_dcci_syscnt,1179.0,1122,1376,1096,-7.039864291772689
store_scalar_o4_syscnt,simd_main_st_diff_o4_syscnt,430.5,315,824,572,32.868757259001164
store_scalar_o4_syscnt,simd_main_st_same_o4_dcci_syscnt,599.0,503,875,897,49.74958263772955
store_scalar_o4_syscnt,simd_main_st_same_o4_syscnt,482.0,473,869,460,-4.564315352697095
store_scalar_o4_syscnt,simd_nop_syscnt,5.0,5,6,5,0.0
store_scalar_o4_syscnt,simt_nop_syscnt,53.0,52,355,951,1694.3396226415093
store_scalar_o4_syscnt,simt_st_uniform_diff_o4_dcci_syscnt,643.0,597,1691,1445,124.72783825816485
store_scalar_o4_syscnt,simt_st_uniform_diff_o4_syscnt,556.5,537,1154,1082,94.42946990116802
store_scalar_o4_syscnt,simt_st_uniform_same_o4_dcci_syscnt,641.5,586,1572,1745,172.0187061574435
store_scalar_o4_syscnt,simt_st_uniform_same_o4_syscnt,352.5,318,992,1098,211.48936170212767
