mode,op,ops,median_ms
simd,add,0,0.017052
simd,add,32,0.018482
simd,add,64,0.025259
simd,add,128,0.039653
simd,add,256,0.068060
simd,add,512,0.125032
simd,trans,0,0.015684
simd,trans,32,0.051267
simd,trans,64,0.091080
simd,trans,128,0.171507
simd,trans,256,0.332946
simd,trans,512,0.655870
simt_only,add,0,0.016036
simt_only,add,32,0.015112
simt_only,add,64,0.015035
simt_only,add,128,0.015698
simt_only,add,256,0.020915
simt_only,add,512,0.029528
simt_only,trans,0,0.016225
simt_only,trans,32,0.040990
simt_only,trans,64,0.068985
simt_only,trans,128,0.124713
simt_only,trans,256,0.237010
simt_only,trans,512,0.460936
